Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,31,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.014114982,0.995850027,0.026322884,0.992600024,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,32,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.012743345,0.995733321,0.026126958,0.991999984,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,33,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.013052812,0.996066689,0.030652549,0.991900027,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,34,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.012615511,0.995783329,0.026525449,0.993300021,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,35,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.012086404,0.995866656,0.02705561,0.992699981,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,36,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.012020373,0.99605,0.027601514,0.993200004,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,37,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.010959101,0.996616662,0.028045371,0.992500007,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,38,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.011434184,0.996083319,0.027527105,0.992500007,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,39,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.010891662,0.996749997,0.028222324,0.992999971,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,40,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.010194276,0.996749997,0.02623219,0.992900014,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,41,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.009454894,0.996683359,0.030600794,0.993300021,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,42,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.009084228,0.996916652,0.028578689,0.993200004,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,43,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.008578175,0.99728334,0.032088798,0.992600024,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,44,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.008595271,0.997216642,0.031176513,0.991999984,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,45,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.010581625,0.996383309,0.028768063,0.993499994,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,46,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.008112611,0.997416675,0.02779264,0.993499994,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,47,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.008652541,0.99726665,0.028526004,0.993499994,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,48,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.008369734,0.99726665,0.031144062,0.993499994,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,49,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.006859392,0.997483313,0.033558987,0.992799997,,,2021-10-27-17:22:14
